"Survey","Reef","Site","Transect","Genus","Species","Number","Comment","Video","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Species_name","Biomass Constant A","Biomass Constant B","Max Length (cm)","Trophic Group","Trophic Level","Family","Functional Group","Length_cm","weight_g","Total_Biomass_g"
"Feb_21","Bougainville","BVille_1","T1","Pygoplites","diacanthus",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Pygoplites diacanthus",0.0302,2.89,25,"invertivore-sessile",2.69,"Pomacanthidae","Benthic invertivore",11.1474,32.0877011321772,32.0877011321772
"Feb_21","Bougainville","BVille_1","T1","Acanthurus","thompsoni",2,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore",16.1821,69.9764617080685,139.952923416137
"Feb_21","Bougainville","BVille_1","T1","Chromis","amboinensis",3,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",6.6511,5.13314171662852,15.3994251498856
"Feb_21","Bougainville","BVille_1","T1","Chaetodon","mertensii",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Chaetodon mertensii",0.004261,3.800466,12.5,"invertivore-mobile",2.95,"Chaetodontidae","Omnivore",8.6975,15.8360970347771,15.8360970347771
"Feb_21","Bougainville","BVille_1","T1","Sufflamen","bursa",8,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Sufflamen bursa",0.0257,2.94,25,"invertivore-mobile",2.9,"Balistidae","Benthic invertivore",15.7234,84.67978064035,677.4382451228
"Feb_21","Bougainville","BVille_1","T1","Caranx","lugubris",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Caranx lugubris",0.01449,2.90695,100,"piscivore",4,"Carangidae","Piscivore",38.9222,607.704789323446,607.704789323446
"Feb_21","Bougainville","BVille_1","T1","Caranx","lugubris",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Caranx lugubris",0.01449,2.90695,100,"piscivore",4,"Carangidae","Piscivore",34.2005,417.276600448569,417.276600448569
"Feb_21","Bougainville","BVille_1","T2","Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore",13.6776,22.0714590182948,132.428754109769
"Feb_21","Bougainville","BVille_1","T2","Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore",7.114,6.27700103954507,50.2160083163606
"Feb_21","Bougainville","BVille_1","T2","Sufflamen","bursa",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Sufflamen bursa",0.0257,2.94,25,"invertivore-mobile",2.9,"Balistidae","Benthic invertivore",19.6573,163.265073620717,163.265073620717
